Position, Velocity, Delta Time, 
0.000307, 0.012273, 50, 
0.001442, 0.022713, 50, 
0.003997, 0.051100, 50, 
0.008539, 0.090829, 50, 
0.015633, 0.141881, 50, 
0.025844, 0.204223, 50, 
0.039735, 0.277808, 50, 
0.057863, 0.362565, 50, 
0.080783, 0.458399, 50, 
0.109042, 0.565180, 50, 
0.143179, 0.682741, 50, 
0.183722, 0.810856, 50, 
0.230903, 0.943629, 50, 
0.284661, 1.075163, 50, 
0.344920, 1.205169, 50, 
0.411584, 1.333291, 50, 
0.484539, 1.459100, 50, 
0.563642, 1.582060, 50, 
0.648717, 1.701501, 50, 
0.739546, 1.816572, 50, 
0.835855, 1.926182, 50, 
0.937301, 2.028924, 50, 
1.043449, 2.122958, 50, 
1.153743, 2.205883, 50, 
1.267471, 2.274553, 50, 
1.383715, 2.324893, 50, 
1.501304, 2.351767, 50, 
1.618543, 2.344782, 50, 
1.733289, 2.294925, 50, 
1.843367, 2.201563, 50, 
1.947006, 2.072773, 50, 
2.043637, 1.932622, 50, 
2.134890, 1.825048, 50, 
2.225043, 1.803066, 50, 
2.320027, 1.899686, 50, 
2.425206, 2.103586, 50, 
2.543594, 2.367746, 50, 
2.675620, 2.640520, 50, 
2.819866, 2.884922, 50, 
2.974112, 3.084930, 50, 
3.136105, 3.239858, 50, 
3.303752, 3.352931, 50, 
3.475209, 3.429151, 50, 
3.648882, 3.473452, 50, 
3.823384, 3.490040, 50, 
3.997497, 3.482269, 50, 
4.170133, 3.452702, 50, 
4.340294, 3.403227, 50, 
4.507052, 3.335164, 50, 
4.669519, 3.249344, 50, 
4.826986, 3.149336, 50, 
4.979081, 3.041896, 50, 
5.125615, 2.930685, 50, 
5.266411, 2.815907, 50, 
5.401288, 2.697546, 50, 
5.530058, 2.575403, 50, 
5.652515, 2.449131, 50, 
5.768429, 2.318283, 50, 
5.877546, 2.182351, 50, 
5.979588, 2.040830, 50, 
6.074251, 1.893264, 50, 
6.161217, 1.739314, 50, 
6.240157, 1.578798, 50, 
6.310743, 1.411730, 50, 
6.372660, 1.238334, 50, 
6.425809, 1.062993, 50, 
6.470538, 0.894568, 50, 
6.507451, 0.738273, 50, 
6.537211, 0.595183, 50, 
6.560521, 0.466219, 50, 
6.578128, 0.352138, 50, 
6.590805, 0.253538, 50, 
6.599348, 0.170864, 50, 
6.604570, 0.104433, 50, 
6.607293, 0.054450, 50, 
6.608344, 0.021033, 50, 
6.608556, 0.004238, 50, 
6.608556, 0.000000, 50, 
