Position, Velocity, Delta Time, 
0.000309, 0.012346, 50, 
0.001646, 0.026742, 50, 
0.004654, 0.060168, 50, 
0.010002, 0.106963, 50, 
0.018359, 0.167124, 50, 
0.030391, 0.240646, 50, 
0.046767, 0.327521, 50, 
0.068154, 0.427738, 50, 
0.095218, 0.541283, 50, 
0.128625, 0.668136, 50, 
0.169038, 0.808271, 50, 
0.217121, 0.961654, 50, 
0.273199, 1.121567, 50, 
0.337264, 1.281294, 50, 
0.409304, 1.440795, 50, 
0.489305, 1.600027, 50, 
0.577252, 1.758941, 50, 
0.673126, 1.917483, 50, 
0.776906, 2.075594, 50, 
0.888567, 2.233209, 50, 
1.008080, 2.390260, 50, 
1.135413, 2.546675, 50, 
1.270532, 2.702377, 50, 
1.413397, 2.857290, 50, 
1.563963, 3.011334, 50, 
1.722185, 3.164431, 50, 
1.888010, 3.316503, 50, 
2.061056, 3.460917, 50, 
2.240612, 3.591116, 50, 
2.425970, 3.707166, 50, 
2.616428, 3.809153, 50, 
2.811287, 3.897186, 50, 
3.009857, 3.971393, 50, 
3.211452, 4.031914, 50, 
3.415398, 4.078903, 50, 
3.621023, 4.112518, 50, 
3.827670, 4.132925, 50, 
4.034684, 4.140290, 50, 
4.241423, 4.134776, 50, 
4.447568, 4.122897, 50, 
4.653121, 4.111071, 50, 
4.858086, 4.099303, 50, 
5.062466, 4.087596, 50, 
5.266264, 4.075948, 50, 
5.469482, 4.064358, 50, 
5.672123, 4.052819, 50, 
5.874189, 4.041326, 50, 
6.075682, 4.029869, 50, 
6.276604, 4.018439, 50, 
6.476955, 4.007026, 50, 
6.676736, 3.995619, 50, 
6.875947, 3.984208, 50, 
7.074586, 3.972783, 50, 
7.272653, 3.961331, 50, 
7.470145, 3.949846, 50, 
7.667061, 3.938316, 50, 
7.863397, 3.926736, 50, 
8.059152, 3.915099, 50, 
8.254323, 3.903403, 50, 
8.448905, 3.891646, 50, 
8.642896, 3.879829, 50, 
8.836294, 3.867957, 50, 
9.029096, 3.856039, 50, 
9.221300, 3.844086, 50, 
9.412906, 3.832117, 50, 
9.603914, 3.820151, 50, 
9.794325, 3.808217, 50, 
9.984142, 3.796346, 50, 
10.173371, 3.784576, 50, 
10.362018, 3.772951, 50, 
10.550094, 3.761520, 50, 
10.737611, 3.750338, 50, 
10.924584, 3.739464, 50, 
11.111033, 3.728962, 50, 
11.296978, 3.718899, 50, 
11.482445, 3.709346, 50, 
11.667463, 3.700372, 50, 
11.852066, 3.692047, 50, 
12.036288, 3.684438, 50, 
12.220168, 3.677607, 50, 
12.403749, 3.671611, 50, 
13.907787, 30.080774, 50, 
14.115977, 4.163800, 50, 
14.324650, 4.173448, 50, 
14.533848, 4.183971, 50, 
14.743622, 4.195471, 50, 
14.954025, 4.208065, 50, 
15.165119, 4.221886, 50, 
15.376974, 4.237086, 50, 
15.589665, 4.253836, 50, 
15.803282, 4.272330, 50, 
16.017921, 4.292785, 50, 
16.233693, 4.315445, 50, 
16.450722, 4.340579, 50, 
16.669146, 4.368480, 50, 
16.889119, 4.399459, 50, 
17.110811, 4.433835, 50, 
17.334407, 4.471913, 50, 
17.560105, 4.513957, 50, 
17.788112, 4.560141, 50, 
18.018635, 4.610475, 50, 
18.251871, 4.664715, 50, 
18.487983, 4.722238, 50, 
18.727078, 4.781902, 50, 
18.969174, 4.841918, 50, 
19.214162, 4.899768, 50, 
19.461775, 4.952258, 50, 
19.711563, 4.995749, 50, 
19.962894, 5.026617, 50, 
20.214988, 5.041880, 50, 
20.466979, 5.039816, 50, 
20.717997, 5.020372, 50, 
20.967256, 4.985177, 50, 
21.214114, 4.937166, 50, 
21.458113, 4.879964, 50, 
21.698975, 4.817252, 50, 
21.936589, 4.752285, 50, 
22.170971, 4.687641, 50, 
22.402229, 4.625156, 50, 
22.630529, 4.566004, 50, 
22.856070, 4.510817, 50, 
23.079062, 4.459837, 50, 
23.299714, 4.413038, 50, 
23.518225, 4.370223, 50, 
23.734780, 4.331100, 50, 
23.949547, 4.295332, 50, 
24.162675, 4.262567, 50, 
24.374298, 4.232458, 50, 
24.584532, 4.204679, 50, 
24.793478, 4.178922, 50, 
25.001223, 4.154907, 50, 
25.207842, 4.132375, 50, 
25.413397, 4.111092, 50, 
25.617939, 4.090840, 50, 
25.821510, 4.071421, 50, 
26.024142, 4.052649, 50, 
26.225860, 4.034350, 50, 
26.426678, 4.016357, 50, 
26.626603, 3.998509, 50, 
26.825635, 3.980647, 50, 
27.023766, 3.962613, 50, 
27.220978, 3.944244, 50, 
27.417247, 3.925373, 50, 
27.612538, 3.905823, 50, 
27.806808, 3.885406, 50, 
28.000004, 3.863921, 50, 
28.192062, 3.841149, 50, 
28.382904, 3.816848, 50, 
28.572442, 3.790758, 50, 
28.760572, 3.762593, 50, 
28.947174, 3.732041, 50, 
29.132112, 3.698770, 50, 
29.315234, 3.662430, 50, 
29.496367, 3.622671, 50, 
31.002188, 30.116411, 50, 
31.220356, 4.363366, 50, 
31.440878, 4.410431, 50, 
31.664228, 4.467006, 50, 
31.891006, 4.535553, 50, 
32.121966, 4.619204, 50, 
32.358058, 4.721834, 50, 
32.600456, 4.847973, 50, 
32.850569, 5.002259, 50, 
33.109962, 5.187867, 50, 
33.380113, 5.403006, 50, 
33.661853, 5.634813, 50, 
33.954475, 5.852426, 50, 
34.254824, 6.006987, 50, 
34.557296, 6.049430, 50, 
34.855361, 5.961317, 50, 
35.143815, 5.769073, 50, 
35.420031, 5.524322, 50, 
35.683708, 5.273541, 50, 
35.935900, 5.043829, 50, 
36.178155, 4.845099, 50, 
36.412022, 4.677347, 50, 
36.638841, 4.536382, 50, 
36.859688, 4.416934, 50, 
37.075387, 4.313976, 50, 
37.286543, 4.223124, 50, 
37.493575, 4.140651, 50, 
37.696743, 4.063344, 50, 
37.896159, 3.988329, 50, 
38.091803, 3.912883, 50, 
38.283516, 3.834255, 50, 
38.470990, 3.749479, 50, 
38.653750, 3.655194, 50, 
38.831123, 3.547463, 50, 
39.002206, 3.421671, 50, 
39.184343, 3.642737, 50, 
39.420331, 4.719755, 50, 
39.655837, 4.710121, 50, 
39.890454, 4.692341, 50, 
40.123803, 4.666974, 50, 
40.355549, 4.634935, 50, 
40.585418, 4.597377, 50, 
40.813196, 4.555552, 50, 
41.038730, 4.510683, 50, 
41.261924, 4.463876, 50, 
41.482727, 4.416056, 50, 
41.701124, 4.367945, 50, 
41.917127, 4.320061, 50, 
42.130764, 4.272739, 50, 
42.342072, 4.226155, 50, 
42.551090, 4.180359, 50, 
42.757855, 4.135302, 50, 
42.962398, 4.090861, 50, 
43.164741, 4.046862, 50, 
43.364896, 4.003098, 50, 
43.562863, 3.959347, 50, 
43.758632, 3.915386, 50, 
43.952183, 3.871005, 50, 
44.143484, 3.826024, 50, 
44.332499, 3.780311, 50, 
44.519190, 3.733805, 50, 
44.703517, 3.686539, 50, 
44.885450, 3.638671, 50, 
45.064976, 3.590510, 50, 
45.242103, 3.542548, 50, 
45.416877, 3.495479, 50, 
45.589387, 3.450202, 50, 
45.759777, 3.407800, 50, 
45.928252, 3.369492, 50, 
46.095078, 3.336534, 50, 
46.260584, 3.310105, 50, 
46.425142, 3.291168, 50, 
46.589159, 3.280338, 50, 
48.090941, 30.035636, 50, 
48.290124, 3.983655, 50, 
48.489795, 3.993420, 50, 
48.689952, 4.003155, 50, 
48.890597, 4.012903, 50, 
49.091733, 4.022710, 50, 
49.293364, 4.032618, 50, 
49.495497, 4.042672, 50, 
49.698143, 4.052919, 50, 
49.901314, 4.063406, 50, 
50.105023, 4.074182, 50, 
50.309288, 4.085299, 50, 
50.514128, 4.096811, 50, 
50.719567, 4.108774, 50, 
50.925630, 4.121249, 50, 
51.132344, 4.134298, 50, 
51.339744, 4.147988, 50, 
51.547863, 4.162388, 50, 
51.756742, 4.177572, 50, 
51.966422, 4.193614, 50, 
52.176952, 4.210592, 50, 
52.388381, 4.228585, 50, 
52.600765, 4.247668, 50, 
52.814160, 4.267914, 50, 
53.028630, 4.289389, 50, 
53.244237, 4.312145, 50, 
53.461048, 4.336214, 50, 
53.679128, 4.361605, 50, 
53.898542, 4.388286, 50, 
54.119351, 4.416177, 50, 
54.341608, 4.445135, 50, 
54.565355, 4.474941, 50, 
54.790619, 4.505284, 50, 
55.017407, 4.535748, 50, 
55.245697, 4.565809, 50, 
55.475439, 4.594833, 50, 
55.706543, 4.622093, 50, 
55.938883, 4.646798, 50, 
56.172290, 4.668137, 50, 
56.406557, 4.685339, 50, 
56.641444, 4.697742, 50, 
56.876687, 4.704856, 50, 
57.112008, 4.706418, 50, 
57.347129, 4.702421, 50, 
57.581785, 4.693113, 50, 
57.815733, 4.678972, 50, 
58.048766, 4.660649, 50, 
58.280711, 4.638905, 50, 
58.511438, 4.614546, 50, 
58.740856, 4.588359, 50, 
58.968910, 4.561071, 50, 
59.195575, 4.533316, 50, 
59.420857, 4.505624, 50, 
59.644777, 4.478414, 50, 
59.867378, 4.452005, 50, 
60.088709, 4.426624, 50, 
60.308830, 4.402423, 50, 
60.527804, 4.379491, 50, 
60.745698, 4.357868, 50, 
60.962576, 4.337556, 50, 
61.178502, 4.318533, 50, 
61.393540, 4.300754, 50, 
61.607748, 4.284165, 50, 
61.821183, 4.268702, 50, 
62.033898, 4.254297, 50, 
62.245942, 4.240884, 50, 
62.457362, 4.228393, 50, 
62.668200, 4.216760, 50, 
64.176207, 30.160136, 50, 
64.390350, 4.282857, 50, 
64.605254, 4.298081, 50, 
64.820969, 4.314313, 50, 
65.037549, 4.331596, 50, 
65.255047, 4.349963, 50, 
65.473519, 4.369433, 50, 
65.693019, 4.390006, 50, 
65.913602, 4.411657, 50, 
66.135318, 4.434326, 50, 
66.358214, 4.457910, 50, 
66.582327, 4.482257, 50, 
66.807684, 4.507150, 50, 
67.034300, 4.532305, 50, 
67.262167, 4.557359, 50, 
67.491261, 4.581875, 50, 
67.721528, 4.605341, 50, 
67.952887, 4.627184, 50, 
68.185227, 4.646796, 50, 
68.418406, 4.663566, 50, 
68.652251, 4.676915, 50, 
68.886569, 4.686350, 50, 
69.121144, 4.691500, 50, 
69.355752, 4.692154, 50, 
69.590166, 4.688282, 50, 
69.824167, 4.680036, 50, 
70.057554, 4.667740, 50, 
70.290147, 4.651853, 50, 
70.521794, 4.632929, 50, 
70.752372, 4.611576, 50, 
70.981793, 4.588407, 50, 
71.209967, 4.563489, 50, 
71.436486, 4.530382, 50, 
71.660651, 4.483288, 50, 
71.881795, 4.422896, 50, 
72.099285, 4.349789, 50, 
72.312507, 4.264439, 50, 
72.520867, 4.167212, 50, 
72.723786, 4.058371, 50, 
72.920691, 3.938097, 50, 
73.111016, 3.806500, 50, 
73.294197, 3.663632, 50, 
73.469672, 3.509500, 50, 
73.636901, 3.344570, 50, 
73.795672, 3.175415, 50, 
73.946072, 3.008015, 50, 
74.088181, 2.842175, 50, 
74.222067, 2.677718, 50, 
74.347792, 2.514488, 50, 
74.465409, 2.352344, 50, 
74.574967, 2.191160, 50, 
74.676508, 2.030825, 50, 
74.770070, 1.871236, 50, 
74.855685, 1.712305, 50, 
74.933382, 1.553949, 50, 
75.003187, 1.396095, 50, 
75.065121, 1.238675, 50, 
75.119202, 1.081629, 50, 
75.165471, 0.925382, 50, 
75.204291, 0.776380, 50, 
75.236319, 0.640578, 50, 
75.262215, 0.517918, 50, 
75.282633, 0.408354, 50, 
75.298226, 0.311851, 50, 
75.309645, 0.228381, 50, 
75.317541, 0.157924, 50, 
75.322564, 0.100466, 50, 
75.325364, 0.055997, 50, 
75.326590, 0.024512, 50, 
75.326890, 0.006007, 50, 
75.326890, 0.000000, 50, 
