Position, Velocity, Delta Time, 
41.158867, 3.515472, 50, 
41.335630, 3.535264, 50, 
41.513487, 3.557130, 50, 
41.692520, 3.580672, 50, 
41.872796, 3.605504, 50, 
42.054359, 3.631270, 50, 
42.237242, 3.657651, 50, 
42.421460, 3.684376, 50, 
42.607022, 3.711222, 50, 
42.793922, 3.738016, 50, 
42.982154, 3.764628, 50, 
43.171702, 3.790969, 50, 
43.362552, 3.816988, 50, 
43.554685, 3.842661, 50, 
43.748084, 3.867993, 50, 
43.942735, 3.893006, 50, 
44.138622, 3.917740, 50, 
44.335734, 3.942247, 50, 
44.534063, 3.966589, 50, 
44.733605, 3.990831, 50, 
44.934357, 4.015046, 50, 
45.136322, 4.039305, 50, 
45.339506, 4.063677, 50, 
45.543918, 4.088228, 50, 
45.749569, 4.113018, 50, 
45.956473, 4.138096, 50, 
46.164648, 4.163498, 50, 
46.374110, 4.189242, 50, 
46.584877, 4.215327, 50, 
46.796963, 4.241722, 50, 
47.010381, 4.268367, 50, 
47.225140, 4.295165, 50, 
47.441238, 4.321975, 50, 
47.658669, 4.348612, 50, 
47.877411, 4.374843, 50, 
48.097430, 4.400383, 50, 
48.318676, 4.424907, 50, 
48.541078, 4.448048, 50, 
48.764549, 4.469418, 50, 
48.988980, 4.488620, 50, 
49.214243, 4.505271, 50, 
49.440195, 4.519027, 50, 
49.666675, 4.529607, 50, 
49.893516, 4.536814, 50, 
50.120543, 4.540551, 50, 
51.619661, 29.982348, 50, 
51.818249, 3.971755, 50, 
52.016427, 3.963571, 50, 
52.214191, 3.955279, 50, 
52.411534, 3.946855, 50, 
52.608447, 3.938274, 50, 
52.804923, 3.929511, 50, 
53.000950, 3.920539, 50, 
53.196517, 3.911333, 50, 
53.391610, 3.901864, 50, 
53.586215, 3.892107, 50, 
53.780317, 3.882032, 50, 
53.973897, 3.871613, 50, 
54.166938, 3.860820, 50, 
54.359420, 3.849627, 50, 
54.551320, 3.838007, 50, 
54.742617, 3.825933, 50, 
54.933286, 3.813381, 50, 
55.123302, 3.800330, 50, 
55.312640, 3.786762, 50, 
55.501274, 3.772665, 50, 
55.689175, 3.758031, 50, 
55.876318, 3.742861, 50, 
56.062677, 3.727169, 50, 
56.248225, 3.710975, 50, 
56.432941, 3.694320, 50, 
56.616804, 3.677260, 50, 
56.799798, 3.659868, 50, 
56.981910, 3.642246, 50, 
57.163136, 3.624514, 50, 
57.343477, 3.606824, 50, 
57.522945, 3.589351, 50, 
57.701560, 3.572298, 50, 
57.879354, 3.555892, 50, 
58.056373, 3.540377, 50, 
58.232674, 3.526012, 50, 
58.408326, 3.513055, 50, 
58.583414, 3.501761, 50, 
58.758032, 3.492361, 50, 
58.932285, 3.485055, 50, 
59.106285, 3.479999, 50, 
59.280150, 3.477294, 50, 
59.453999, 3.476982, 50, 
59.627951, 3.479041, 50, 
59.802120, 3.483387, 50, 
59.976614, 3.489881, 50, 
60.151531, 3.498336, 50, 
60.326958, 3.508529, 50, 
60.502968, 3.520214, 50, 
60.679625, 3.533133, 50, 
60.856976, 3.547029, 50, 
61.035059, 3.561653, 50, 
61.213898, 3.576774, 50, 
61.393507, 3.592181, 50, 
61.573891, 3.607691, 50, 
61.755049, 3.623146, 50, 
61.936969, 3.638412, 50, 
62.119638, 3.653382, 50, 
62.303037, 3.667972, 50, 
62.487143, 3.682116, 50, 
62.671931, 3.695769, 50, 
62.857376, 3.708898, 50, 
63.043450, 3.721484, 50, 
64.544903, 30.029062, 50, 
64.729401, 3.689948, 50, 
64.912496, 3.661911, 50, 
65.094006, 3.630193, 50, 
65.273718, 3.594238, 50, 
65.451389, 3.553430, 50, 
65.626745, 3.507104, 50, 
65.799474, 3.454588, 50, 
65.969238, 3.395270, 50, 
66.135674, 3.328723, 50, 
66.298419, 3.254908, 50, 
66.457142, 3.174465, 50, 
66.611598, 3.089107, 50, 
66.761700, 3.002051, 50, 
66.907617, 2.918341, 50, 
67.049857, 2.844796, 50, 
67.189320, 2.789267, 50, 
67.327276, 2.759101, 50, 
67.465233, 2.759153, 50, 
67.604745, 2.790229, 50, 
67.747184, 2.848796, 50, 
67.893592, 2.928144, 50, 
68.044608, 3.020337, 50, 
68.200509, 3.118012, 50, 
68.361281, 3.215437, 50, 
68.526720, 3.308784, 50, 
68.696516, 3.395913, 50, 
68.870313, 3.475941, 50, 
69.047754, 3.548819, 50, 
69.228503, 3.614993, 50, 
69.412262, 3.675168, 50, 
69.598623, 3.727216, 50, 
69.786920, 3.765948, 50, 
69.976362, 3.788840, 50, 
70.166171, 3.796178, 50, 
70.355583, 3.788243, 50, 
70.543847, 3.765280, 50, 
70.730221, 3.727482, 50, 
70.913970, 3.674972, 50, 
71.094360, 3.607797, 50, 
71.270655, 3.525918, 50, 
71.442116, 3.429208, 50, 
71.607988, 3.317449, 50, 
71.767670, 3.193642, 50, 
71.920875, 3.064096, 50, 
72.067474, 2.931969, 50, 
72.207334, 2.797215, 50, 
72.340322, 2.659755, 50, 
72.466297, 2.519492, 50, 
72.585113, 2.376326, 50, 
72.696621, 2.230167, 50, 
